Season,PlayerID,Age,YearsExperience,League,Team,Position,Games,PointsPerGame,AssistsPerGame,BlocksPerGame,ReboundsPerGame,EffectiveFieldGoalPercent
1947,1,23,1,BAA,BOS,F,58,9.8,1.0,,,0.256
1947,2,26,1,BAA,WSC,F,5,0.8,0.0,,,0.125
1947,3,25,1,BAA,WSC,F-C,11,2.8,0.5,,,0.188
1947,4,28,1,BAA,PHW,G,60,9.4,0.4,,,0.281
1949,4,30,3,BAA,PHW,G,58,8.2,1.4,,,0.314
1948,4,29,2,BAA,PHW,G,43,7.4,0.2,,,0.276
1947,5,23,1,BAA,DTF,F,59,9.0,1.0,,,0.241
1950,5,26,4,NBA,STB,F,68,7.0,1.5,,,0.279
1948,5,24,2,BAA,STB,F,28,4.6,0.1,,,0.327
1948,5,24,2,BAA,TOT,F,42,4.4,0.1,,,0.297
1951,5,27,5,NBA,WSC,F,35,7.3,1.4,,4.0,0.312
1948,5,24,2,BAA,PRO,F,14,3.9,0.1,,,0.242
1949,5,25,3,BAA,STB,F,55,10.8,1.8,,,0.317
1947,6,27,1,BAA,PRO,F,12,0.8,0.0,,,0.267
1948,7,31,2,BAA,PHW,C,11,5.3,0.3,,,0.197
1947,7,30,1,BAA,PHW,C,60,6.0,0.7,,,0.291
1949,8,28,3,BAA,BOS,F,59,5.5,1.3,,,0.3
1948,8,27,2,BAA,BOS,F,48,4.0,0.4,,,0.276
1947,8,26,1,BAA,BOS,F,55,6.0,0.8,,,0.267
1950,8,29,4,NBA,BOS,F,7,0.7,0.4,,,0.167
1947,9,26,1,BAA,DTF,G,23,4.4,1.7,,,0.22
1947,10,25,1,BAA,STB,G-F,59,4.9,0.2,,,0.281
1947,11,23,1,BAA,NYK,F,12,2.8,0.1,,,0.286
1950,12,31,4,NBA,STB,SG,61,13.7,3.5,,,0.345
1948,12,29,2,BAA,STB,SG,48,11.1,0.4,,,0.308
1951,12,32,5,NBA,BLB,SG,44,13.8,2.8,,3.0,0.389
1951,12,32,5,NBA,TOT,SG,60,12.2,2.7,,3.0,0.38
1951,12,32,5,NBA,SYR,SG,16,7.8,2.3,,3.0,0.339
1947,12,28,1,BAA,STB,SG,22,11.9,0.5,,,0.321
1952,12,33,6,NBA,BLB,SG,11,3.6,0.7,,1.6,0.206
1949,12,30,3,BAA,STB,SG,59,15.5,3.1,,,0.372
1947,13,33,1,BAA,WSC,F,2,1.0,0.0,,,0.0
1949,14,31,2,BAA,PRO,F,1,0.0,0.0,,,0.0
1947,14,29,1,BAA,CLR,F,51,2.0,0.4,,,0.2
1947,15,26,1,BAA,CHS,F,47,1.8,0.2,,,0.24
1947,16,29,1,BAA,NYK,C,54,4.4,0.4,,,0.261
1947,17,29,1,BAA,DTF,F,57,5.2,0.7,,,0.197
1948,18,28,2,BAA,STB,F-C,42,10.6,0.6,,,0.264
1947,18,27,1,BAA,STB,F-C,60,8.7,0.4,,,0.253
1949,18,29,3,BAA,BOS,F-C,47,7.9,2.5,,,0.331
1950,18,30,4,NBA,BOS,F-C,47,6.7,2.3,,,0.346
1947,19,24,1,BAA,CHS,F,11,1.0,0.0,,,0.2
1947,19,24,1,BAA,BOS,F,6,1.3,0.0,,,0.286
1947,19,24,1,BAA,TOT,F,17,1.1,0.0,,,0.219
1947,20,25,1,BAA,CLR,F,51,6.7,0.6,,,0.295
1949,21,29,3,BAA,WSC,F-G,58,13.0,3.2,,,0.35
1950,21,30,4,NBA,WSC,F-G,60,8.1,2.1,,,0.344
1947,21,27,1,BAA,WSC,F-G,55,16.8,1.3,,,0.401
1948,21,28,2,BAA,WSC,F-G,48,16.1,1.2,,,0.34
1947,22,23,1,BAA,NYK,F-C,29,2.8,0.3,,,0.19
1947,22,23,1,BAA,TRH,F-C,31,4.5,0.8,,,0.195
1947,22,23,1,BAA,TOT,F-C,60,3.7,0.6,,,0.193
1949,22,25,2,BAA,ROC,F-C,18,1.1,0.7,,,0.207
1947,23,24,1,BAA,WSC,F-C,23,3.1,0.2,,,0.326
1947,24,24,1,BAA,NYK,G,26,2.9,0.7,,,0.26
1947,24,24,1,BAA,TOT,G,54,5.8,1.0,,,0.281
1947,24,24,1,BAA,TRH,G,28,8.5,1.3,,,0.287
1947,25,25,1,BAA,CHS,F,3,0.0,0.0,,,0.0
1947,26,22,1,BAA,PRO,F,43,2.2,0.1,,,0.242
1947,27,28,1,BAA,WSC,SF,58,12.0,1.2,,,0.279
1951,27,32,5,NBA,WSC,SF,10,2.7,0.6,,1.9,0.279
1951,27,32,5,NBA,BOS,SF,34,6.9,2.3,,5.3,0.317
